dealer_id,state,dealer_link,avg_rating,nr_reviews,inventory_size,inventory_link,registration_date
924b6a44-24bb-4640-844d-2ace5ea8f188,AL,https://www.cars.com/dealers/5371939/serra-trussville-kia/,4.3,572,88,https://www.cars.com/dealers/5371939/serra-trussville-kia/inventory/,2017-02-01
2a33eed9-0196-4ac5-aff3-79eb735f5a61,AL,https://www.cars.com/dealers/5390798/serra-hyundai/,4.8,1004,181,https://www.cars.com/dealers/5390798/serra-hyundai/inventory/,2019-11-01
90ff669f-0e23-473b-90a3-a832dc81241e,AL,https://www.cars.com/dealers/148992/courtesy-buick-gmc/,,312,129,https://www.cars.com/dealers/148992/courtesy-buick-gmc/inventory/,2014-08-01
7612b686-6f9f-4238-a179-895288cf8489,AL,https://www.cars.com/dealers/5366741/benchmark-imports/,4.7,604,111,https://www.cars.com/dealers/5366741/benchmark-imports/inventory/,
0d5e993b-d4b3-4abb-95f2-9bfed37d6714,AL,https://www.cars.com/dealers/12288/serra-toyota/,4.8,1602,322,https://www.cars.com/dealers/12288/serra-toyota/inventory/,2008-02-01
d463f1f8-cda1-4470-aca9-4b7385bb7500,AL,https://www.cars.com/dealers/187972/serra-chevrolet/,3.9,512,102,https://www.cars.com/dealers/187972/serra-chevrolet/inventory/,2013-10-01
82d0a756-fc41-44d9-95ee-c7009dff06f7,AL,https://www.cars.com/dealers/193683/serra-volkswagen/,4.5,212,41,https://www.cars.com/dealers/193683/serra-volkswagen/inventory/,2015-12-01
e18d4e83-f0d0-4e15-ad05-ef0da5ee8005,AL,https://www.cars.com/dealers/210967/serra-nissan/,4.6,578,109,https://www.cars.com/dealers/210967/serra-nissan/inventory/,2014-08-01
d7470c23-846f-42e5-9954-0111f9e19719,AL,https://www.cars.com/dealers/5365542/audi-birmingham/,4.6,112,,,2022-08-01
f4358884-caa1-40a3-ae54-b5b7fc7f535e,AL,https://www.cars.com/dealers/148920/land-roverjaguar-birmingham/,4.9,120,37,https://www.cars.com/dealers/148920/land-roverjaguar-birmingham/inventory/,2006-09-01
a32e09b8-f916-4450-a216-2648a5828b8e,AL,https://www.cars.com/dealers/5392578/voyles-cdjr-of-birmingham/,,1,323,https://www.cars.com/dealers/5392578/voyles-cdjr-of-birmingham/inventory/,2020-02-01
7d409250-4821-48ab-aea3-f802d8323f25,AL,https://www.cars.com/dealers/182765/bmw-mini-of-birmingham/,4.6,548,111,https://www.cars.com/dealers/182765/bmw-mini-of-birmingham/inventory/,2007-12-01
b64c80c5-51f2-4300-98d0-f0d72fc6323e,AL,https://www.cars.com/dealers/12310/lexus-of-birmingham/,4.8,1065,213,https://www.cars.com/dealers/12310/lexus-of-birmingham/inventory/,2022-07-01
5b69a5b5-0c47-45d4-b003-72642f93eb49,AL,https://www.cars.com/dealers/5397548/echopark-automotive-birmingham/,4.9,484,117,https://www.cars.com/dealers/5397548/echopark-automotive-birmingham/inventory/,2021-03-01
0adaeffa-70bc-4c29-8109-a68fc457e67a,AL,https://www.cars.com/dealers/5393550/alabama-carland/,,1,39,https://www.cars.com/dealers/5393550/alabama-carland/inventory/,2020-05-01
eb35c449-8b16-42b7-9b41-9884a80936c3,AL,https://www.cars.com/dealers/5348118/mercedes-benz-of-birmingham/,4.9,852,83,https://www.cars.com/dealers/5348118/mercedes-benz-of-birmingham/inventory/,2014-11-01
dffd3e7b-e885-4f21-90fe-19fbef6acbee,AL,https://www.cars.com/dealers/5377829/drivetime-of-north-birmingham/,,4,76,https://www.cars.com/dealers/5377829/drivetime-of-north-birmingham/inventory/,2020-12-01
b7cd04de-bf58-4cce-be97-5ee63ab7dafd,AL,https://www.cars.com/dealers/12313/brannon-honda/,4.7,448,42,https://www.cars.com/dealers/12313/brannon-honda/inventory/,2018-03-01
6430671b-ad51-49c9-88e2-cc57cd003f3d,AL,https://www.cars.com/dealers/148995/town-country-ford-of-pell-city/,4.0,28,136,https://www.cars.com/dealers/148995/town-country-ford-of-pell-city/inventory/,2019-08-01
29bdc3d2-c50c-4aaf-8895-da8f4485519d,AL,https://www.cars.com/dealers/5379135/cox-co-motorcars-of-alabama/,,2,16,https://www.cars.com/dealers/5379135/cox-co-motorcars-of-alabama/inventory/,2022-06-01
13d1a38b-92e7-48ff-9a27-1f5727be661c,AL,https://www.cars.com/dealers/5356221/birmingham-luxury-motors/,4.9,624,125,https://www.cars.com/dealers/5356221/birmingham-luxury-motors/inventory/,2015-05-01
254c284a-1b79-4b7b-8bf8-f611fb3497d0,AL,https://www.cars.com/dealers/5376944/icon-motor-group/,,2,5,https://www.cars.com/dealers/5376944/icon-motor-group/inventory/,2023-02-01
756979e8-bb89-4bd7-8ea6-b546c84e8e36,AL,https://www.cars.com/dealers/198689/rmr-4x4/,,1,39,https://www.cars.com/dealers/198689/rmr-4x4/inventory/,2016-07-01
5e0ff214-3f3e-4232-ba21-ed5251ba5cc0,AL,https://www.cars.com/dealers/5373073/preferred-imports/,,8,56,https://www.cars.com/dealers/5373073/preferred-imports/inventory/,2022-01-01
8f53f067-f629-45a6-8bc7-67ff0cbafa7e,AL,https://www.cars.com/dealers/6000983/southside-automotive-group-llc/,4.5,16,44,https://www.cars.com/dealers/6000983/southside-automotive-group-llc/inventory/,
c00b654b-60d2-4ad6-b4c6-0d83f0f1117c,AK,https://www.cars.com/dealers/85884/affordable-used-cars-anchorage/,4.4,147,279,https://www.cars.com/dealers/85884/affordable-used-cars-anchorage/inventory/,2000-03-01
3f72c294-c993-49a6-9ba7-3c24c5240820,AK,https://www.cars.com/dealers/2577169/payless-car-sales-anchorage/,4.0,176,197,https://www.cars.com/dealers/2577169/payless-car-sales-anchorage/inventory/,2013-03-01
cc597cd8-cd5c-437e-93d1-a737e0b3bcaa,AK,https://www.cars.com/dealers/182788/bmw-of-anchorage/,,340,141,https://www.cars.com/dealers/182788/bmw-of-anchorage/inventory/,2008-09-01
1c64c45f-3330-48f1-a9ac-ff555b5509b7,AK,https://www.cars.com/dealers/158757/anchorage-chrysler-dodge-jeep-ram-center/,4.8,1400,278,https://www.cars.com/dealers/158757/anchorage-chrysler-dodge-jeep-ram-center/inventory/,2016-09-01
c2fd289d-15a0-4716-877a-4580a43fecc4,AK,https://www.cars.com/dealers/5372621/kendall-ford-lincoln-of-anchorage/,4.4,244,215,https://www.cars.com/dealers/5372621/kendall-ford-lincoln-of-anchorage/inventory/,2016-12-01
6280e308-d6b4-47c9-8995-88e9d93e12ae,AK,https://www.cars.com/dealers/158751/lithia-hyundai-of-anchorage/,4.4,1090,214,https://www.cars.com/dealers/158751/lithia-hyundai-of-anchorage/inventory/,2015-12-01
3cdbb1a8-6ece-46fa-86cf-12c611cfe47d,AK,https://www.cars.com/dealers/5376971/bryan-jeffery-motors/,,2,21,https://www.cars.com/dealers/5376971/bryan-jeffery-motors/inventory/,2017-09-01
e0f41f22-28fc-4497-9d8f-44b7e4f0922f,AK,https://www.cars.com/dealers/5342881/united-auto-sales/,4.9,224,150,https://www.cars.com/dealers/5342881/united-auto-sales/inventory/,2016-03-01
aa3d897a-f055-4f1a-9223-2bcba27c5c9c,AK,https://www.cars.com/dealers/195773/red-white-and-blue/,4.6,140,32,https://www.cars.com/dealers/195773/red-white-and-blue/inventory/,2011-02-01
500bf722-849f-4bcb-be05-39f3513a9ba1,AK,https://www.cars.com/dealers/26898/kendall-toyota-of-anchorage/,4.3,664,75,https://www.cars.com/dealers/26898/kendall-toyota-of-anchorage/inventory/,2011-02-01
